text,label,task
i love to go dancing . i love eating out . do you have any favorite foods ?,0,gender
my dog will not stop barking,0,gender
hello do u like animals i have a kitten named leela very cute kitten too,0,gender
animals are amazing my kitten sits in my lap while i youtube cause i am a big youtuber,0,gender
no all my videos are of how to apply makeup,0,gender
are you vera ? i love library shopping . we aren't alone .,0,gender
yes ! i know how to be by myself . you ? i don't need new friends . you ?,0,gender
hmmm . i prefer things the old fashioned way . you . tell me more about vera . please !,0,gender
do not trust anyone ! is your vera nice ? ours is dead .,0,gender
you aren't the kids father . vera isn't nice . i'm at the library now . you ?,0,gender
"hi , how are you today ?",0,gender
"hope it does not stain . i love reading . do you , if so what is your favorite book ?",0,gender
i have not gotten to read lately because i broke my glasses .,0,gender
what did one hillbilly say to another ?,0,gender
hi how are you today,0,gender
virginia and i am not nope,0,gender
hi how are you today,0,gender
just taking care of my mother . she's very sick .,0,gender
me to . between her health and our loud neighbors she cannot seem to rest,0,gender
"yea . not to mention , i get made fun of a lot . not happy with my image",0,gender
"hi , how are you today ?",0,gender
"not much . just work , hang out with my boyfriend , singing lessons . . .",0,gender
hello how are you today,0,gender
i am doing just fine . i will go shoe shopping later,0,gender
where have you been lately,0,gender
hello there . how are you ? i got off from creating videos for discovery channel .,0,gender
i love anime . my favorite is trinity blood .,0,gender
hello ! how are you doing today ?,0,gender
congratulations . i hope the baby is healthy and has no asthma like i do .,0,gender
exactly . so lets hope for the best for the baby . you know the sex yet ?,0,gender
6 ft . feels like i am towering over these females .,0,gender
well if your sure i will keep dancing . i love it too hate to give it up .,0,gender
"hey , there . how are you today ?",0,gender
i'm 29 now and have adored them for years . i'm near boston . you ?,0,gender
hi i have four siblings,0,gender
oh that's great i like to spend time drawing,0,gender
i do not know much about cows,0,gender
how to milk a cow it what i don't know,0,gender
hey how are you today,0,gender
i'm a boy . or a girl . or a cat ink anymore,0,gender
i think i am bipolar but i also tell myself that its not possible .,0,gender
i'm always baking for the old people in my retirement home .,0,gender
ah . i'm really old but my kids visit me all the time .,0,gender
i bet . do you like cake ? my grandson does .,0,gender
how old are you now ?,0,gender
"hello , how are you doing ?",0,gender
"hello , are you a comic book collector like me ?",0,gender
sounds good . i love my cat too,0,gender
"hello my name is sally , i am a baker",0,gender
"that's awesome , when i was young like that i tried acting",0,gender
"my wife showed me that , she makes me smile .",0,gender
"i am so sad now though , i can not sign in the shower anymore",0,gender
i had when i wrote my first book,0,gender
i write about fantasy what do you do ?,0,gender
"my mom works as a cashier at walmart , i live in her basement",0,gender
"my mom is proud , i have the easter bunny hiding in my closet",0,gender
was nice talking to you as well !,0,gender
"you as well , stay safe !",0,gender
not yet . married and hoping to start soon,0,gender
yes actually . the love and war again .,0,gender
hi ! how are you ?,0,gender
nice ! do you love books ?,0,gender
"i've to admit , i always opted for hte movie versions of books .",0,gender
"i do , but prefer the movies . have you heard of 16 candles ?",0,gender
yes . . . do you know if there's a book 16 candles ?,0,gender
hello how are you tonight,0,gender
my children let me down so i have been better,0,gender
married ugly people i am with miss usa,0,gender
wow that's cool are ou a twin too or just them,0,gender
hey how are you today,0,gender
no i did not once i realized what he was i ran away fast as i could,0,gender
yeah well i have to go was nice chatting with you,0,gender
hi how are you today ?,0,gender
do you enjoy eating cakes ?,0,gender
"very nice , i am vegetarian too",0,gender
do you enjoy the internet ? i sure od,0,gender
not really just watching my daughter slowly pull things in her crib haha,0,gender
she's almost 8 months,0,gender
"hectic haha , she's definitely a handful , and yes",0,gender
"hello , how are you today ?",0,gender
i read every night . horror stories !,0,gender
hi how are you today,0,gender
i just want to be happy with my appearance one day,0,gender
ink you should talk to her about it,0,gender
hello how are you this evening ?,0,gender
yum ! just back from taking the kids on a nature walk lovely,0,gender
healthy ! i stay at home with my two kids while my husband makes the living,0,gender
how old are you ? just turned 30 this year,0,gender
yes ! taking care of children plus two pets too,0,gender
you are making wonderful memories ! !,0,gender
you will be blown away by the ending ! i love that show .,0,gender
parents can be a bummer . you live with them ?,0,gender
hello how are u tonight,0,gender
i'm a call of duty girl i cant wait for the new one,0,gender
i have three best friends but lots of other friends that play it,0,gender
do you have a family ? never got to know mine,0,gender
"i am well , what do you do in your spare time ?",0,gender
how many kids ? i don't even have a sibling . oh poo .,0,gender
i was sent to an adoption agency as a infant .,0,gender
"awesome , i would not put my kid up for adoption ever .",0,gender
awesome ! i am looking for black lace curtains . everything just be black,0,gender
maybe ? a black iphone would match my black purse though,0,gender
hi there ! tell me about yourself,0,gender
cat and dog makes a fun household . i am watching anime .,0,gender
like playing the witch part ? lol,0,gender
that is cat like . wow i am confused .,0,gender
u should open your eyes so you can see better,0,gender
hi how are you this evening ?,0,gender
i also enjoy other rap artists too . i like them also .,0,gender
"yes , cooking for family get togethers is one of my favorites",0,gender
"hi , how are you today ?",0,gender
"how fun , are you single ?",0,gender
"cool , how many do you have ? i'm single , enjoying it .",0,gender
"how cool is that , all i wanted to be was a yoga instructor .",0,gender
"a different kind of designer then , fun . i enjoy working out , do you ?",0,gender
"hi , i work as a lifestyle blogger . what do you do ?",0,gender
nice ! do you have any children ?,0,gender
pets are like family ! i've 2 kids and a husband that's like my 3rd child,0,gender
hi how are you today,0,gender
do you have a good relationship with your parents,0,gender
hi how are you today,0,gender
well i also like watching groups of people pray for the betterment of the world .,0,gender
sure if they requested them,0,gender
"hello , how are you tonight ?",0,gender
pretty ! mine is streaked purple and blue . my kids are horrified .,0,gender
"i went to the salon , i fit in with the other girls at school .",0,gender
"my mother is an attorney , she used to be the da",0,gender
what are your favorite things,0,gender
hello . i'm sad so i'm eating ice cream . what are you up to ?,0,gender
i am missing my best friend who moved to japan,0,gender
interesting . how old are you ?,0,gender
do you have any kids,0,gender
no but i always wanted a pet pig,0,gender
hi there . i'm vegan,0,gender
my granny loves to cliff dive,0,gender
good afternoon . how are you today ?,0,gender
"well , my bf studies so i thought i'd try as well .",0,gender
hi how are you today,0,gender
yeah as long as i can do some katy perry,0,gender
"congratulations , i'm single and hope to go to japan soon",0,gender
"thanks , eating ice cream always make me feel better .",0,gender
"i enjoy being a red head , what color is your hair ?",0,gender
i am great thanks . do you have a nickname ?,0,gender
"the revelation came to me in the shower yes , what is your name ?",0,gender
i'm angela my friends call me bubblegum,0,gender
i just always chew gum even in the shower do you like to walk,0,gender
i teach japanese to children and just got done,0,gender
neat ! are you married ? i'm 35 and single .,0,gender
the only thing i've is my dog his name is won won lol,0,gender
she's a golden retriever very nice dogs,0,gender
oh yes . i get weird looks though because i am a girl .,0,gender
"no , i wear low cut socks .",0,gender
"uh thanks , i'm sure i do too lol . do you have any hobbies",0,gender
is your hair color blonde ? tv loves blondes .,0,gender
"nah . but i do not drink it , i stick to almond milk .",0,gender
hello . how are you today ?,0,gender
that is great . how old are you ? i am a woman and a little older .,0,gender
what is your favorite food ?,0,gender
helping people is my real love . thank you for chatting with me !,0,gender
i'm in to the photography business,0,gender
i would have to say bagels,0,gender
"hi there , how are you ?",0,gender
you should . so what do you look like ?,0,gender
"i've brown eyes , and brown hair , so we are quite different",0,gender
hey how are you ?,0,gender
"yes they are , oh wow your first ? boy or girl ?",0,gender
"as a librarian , reading will take your mind off things .",0,gender
"wow , maybe you can get them interested in some other hobbies . do they like cars ?",0,gender
"hi , what is your name ?",0,gender
i'm sure i can lift 10 nurses . bring on the nurses ! ! !,0,gender
hahahahaha . i laugh in your face !,0,gender
that is a good one . i have kids too,0,gender
you only live once . marry next time,0,gender
i know . i'm a parent too,0,gender
hi ! how are you doing today ?,0,gender
do you live by yourself ?,0,gender
comedies ! i like when my dog and cat come to bed with me to watch movies,0,gender
my girlfriend of 7 years is in another state,0,gender
i wish i could get rid of my social anxiety . . .,0,gender
hello how are you today ?,0,gender
it can be hard . i've gotten used to being alone though .,0,gender
i do not like disappointing and deceiving the people i love .,0,gender
how are you doing this september night ?,0,gender
"sounds fun , i'm in school now at do not have much time to party .",0,gender
on sundays i like to make breakfast . i too like cooking,0,gender
"i am thad , i like cooking bacon and eggs",0,gender
goodness i have never considered that,0,gender
hi ! i am nancy . nice to meet you .,0,gender
what do you do for fun ? i play with barbies .,0,gender
"i play barbies alone , since i do not have siblings .",0,gender
congrats ! i'll just be listening to barbie girl ! great song !,0,gender
its always fun playing with barbies !,0,gender
i have a bachelors degree in psychology .,0,gender
they sell special glasses for people who are color blind .,0,gender
wow ! that's great ! i love grocery shopping !,0,gender
hi ! ! ! ! how are you ?,0,gender
that's special . i hope they're happy .,0,gender
it is ! ! ! ! ! ! ! i'm single and play too many video games .,0,gender
hey how are you doing this morning ?,0,gender
great ! thinking about doing some baking . do you cook ?,0,gender
i am always happy doing work in the garden .,0,gender
herpes so the girlfriend moved next door,0,gender
reporter for the local newspaper,0,gender
would you like to see a picture of my grandkids ? i've so many now,0,gender
hi my friend how are you,0,gender
"hello , how are you today ?",0,gender
"aww . my mom is in poor health , so it is just me .",0,gender
"that is horrible , parents should not have to work so much .",0,gender
it is wrong . parents need to be there for their kids .,0,gender
good evening . how are you doing ?,0,gender
trying to think of new names to use in a romance novel .,0,gender
i work in a diner and cook . just do not ask me to sing !,0,gender
that sounds like a lot of responsibility ! guess you like babies !,0,gender
hello ! how are you today ?,0,gender
"hey there , how are you ?",0,gender
"i have not , why did you ?",0,gender
do you have any dolls ?,0,gender
was that romantic ? i try to be,0,gender
yes i use to work in phone sales but i will never have to work again,0,gender
"hi , how are you ? tell me something about yourself !",0,gender
sounds fun ! i enjoying volunteering and donating to charities .,0,gender
"ha ha , how attractive ? i am pretty eligible . i helped program facebook !",0,gender
"hi , how is your day ? my cow is annoying me !",0,gender
my boyfriend i have dated for ten years makes a lot of money .,0,gender
tell me more about yourself . what do you like ?,0,gender
hello how are you this evening ?,0,gender
i am as well . can you tell me a bit about yourself ?,0,gender
my husband was a career solider and we have 4 kids .,0,gender
that's good ! any grandkids yet ?,0,gender
my husband and i've grandkids that range from 7 to 30 . there are 10 total .,0,gender
they sure are . we do ! there are 8 girls and 2 boys .,0,gender
hello how are today,0,gender
no job just a dream cupcake business,0,gender
"hello , how are you doing ?",0,gender
me too . i've two kids and always have to wait till they are asleep to watch .,0,gender
"is it weird that i don't have a favorite character , i try not get attached .",0,gender
hello hoe are you today ?,0,gender
hello ! i'm exited to get to know you !,0,gender
"well , i am currently in college , home is in california .",0,gender
hello . wanna go to mcdonalds ?,0,gender
i do not want to work . i'm fine living with mom dad .,0,gender
i mean not after they are grown up ! they won't need a babysitter then ! lol,0,gender
i needed that laugh . i'm recovering from a broken leg .,0,gender
"sweet ! so does my older sister , mary , and my dad . he is a journalist .",0,gender
i would probably like hip hop more if i had not been born premature .,0,gender
hi how are you today,0,gender
"i am tammy . i've no brothers or sisters , but i did just get engaged",0,gender
i don't suppose she lives in paris ?,0,gender
thank you for chatting with me ! do you have any hobbies ?,0,gender
i spend a lot of time jogging when i am not working as a waitress .,0,gender
hi how are you ?,0,gender
"haha that sounds like a chore . you sound like a great mom , however !",0,gender
how old is your parrot,0,gender
can you not wear a wig,0,gender
"i'm a cat person . but i bet you enjoy ice cream , it is my favorite .",0,gender
"sometimes , dogs scare me if i do not have a relationship with them",0,gender
hi how are you today,0,gender
how long have you been married,0,gender
wow that is a long time,0,gender
nice . what do you like to do . i like photography .,0,gender
oh nice . so are you the youngest in your family because i'm .,0,gender
hey whats up with you right now ?,0,gender
or you can help me in my garden and i will pay you,0,gender
i've heard that gets really competitive . being an international chef can be competitive too .,0,gender
i'ven t been to broadway . have you ?,0,gender
"hey there , how are you ?",0,gender
"i am pretty good , just finished my shift at the grocery store .",0,gender
i work in the bakery and eat all my favorite cupcakes ? what do you do ?,0,gender
"you too , i am about to shower so i can brush my brown hair .",0,gender
how are you this evening ?,0,gender
yes girls and boys they keep me busy .,0,gender
hi how are you,0,gender
blond what color is your,0,gender
"i like youtube , but i don t have a channel . i wish",0,gender
"that s cool , i like destiny",0,gender
pink roses ! what is yours ?,0,gender
how long have you been vegan ?,0,gender
what made you decide to go vegan ?,0,gender
hey i'm pam ! what is going on with you ?,0,gender
i have a very active imagination . i love october because dressing up as a character,0,gender
it is fine though . i've chocolate milkshakes to make me feel better . i love them .,0,gender
hello . how are you doing this evening ?,0,gender
nah i do not have a favorite . it just depends what mood i'm in . do you read ?,0,gender
i freelance . i just quit my job . i was doing alot of painting .,0,gender
i can teach you some great yoga tips,0,gender
are you a secret kid or one of the newborn twins,0,gender
hello ! how are you tonight ?,0,gender
can vegan recipes use honey ? i love it !,0,gender
what other likes or dislikes do you have ?,0,gender
in my free time i like ti draw and paint !,0,gender
i usually do not . what about you ?,0,gender
i am sure you make em proud . my mother works at a library .,0,gender
that's good . i hope that works out for you .,0,gender
hello ! happy saturday . what are you up to ?,0,gender
me too . i am trying to do some homework but its boring .,0,gender
what are you doing right now ?,0,gender
"no i don't , but i'm a stamp collector so that keeps me busy",0,gender
you are a good pet owner then !,0,gender
"yeah , that might not be a good idea , helping around the house is good .",0,gender
"i don't watch much television , the farm keeps me busy . mom does the baking here .",0,gender
hey there i have a child that i love so much a small girl,0,gender
huh ? i never mentioned my granny lol my hair is always in the way,0,gender
"okay , i should not tell you , its against the rules but my name is sarah , call me o",0,gender
i just remember it starts with the letter j and i got a mabel comic book there .,0,gender
hi ! how are you today ?,0,gender
i wish you luck with that ! do you have any brothers sisters ?,0,gender
"no , i don't , unfortunately . . . and i was adopted .",0,gender
i am between jobs so i help my mom . she's a teacher in nyc .,0,gender
i really like to cook i tried out for a cooking show,0,gender
that's pretty cool do you make jewelry,0,gender
no the audition was for the cooking show,0,gender
hi how are you today,0,gender
sorry what are your hobbies,0,gender
you could visit any time . i make my own hours selling sunglasses on the beach,0,gender
"hey my dog , george goes with to the beach . i can sell anything lol",0,gender
guess what kind of dog i have ?,0,gender
i haven't read english as good . but size six womens is foot size mine !,0,gender
ahahah . now where are my size six shoes . . . they are womens size,0,gender
"love to dance , but really like going to anime shows .",0,gender
"my mom had a cat name socks , mom died in 1979 , still miss her and the cat .",0,gender
"wow , we are alike in some ways , yet so different ! good luck with the dance studies .",0,gender
hi how are you this evening ?,0,gender
"yes , i also enjoy spending time with friends .",0,gender
hey ! how are you ? i'm so sad,0,gender
right ! wish my wife was cool like you ! she hates i travel for work .,0,gender
i know right ! that is why my wife hates me too .,0,gender
"hello , how are you doing tonight ?",0,gender
"one day i will ditch it all , fly to paris and design clothes all day",0,gender
"hi , i'm a homemaker how about you ?",0,gender
they're . yes kindergarten and second grade,0,gender
well have a nice night . sleep tight .,0,gender
i have traveled all over the world . now tell me something interesting about you !,0,gender
i proposed to my high school friend at a movie,0,gender
i hope you can turn your pain into something beautiful that will help others,0,gender
i love to cook as well,0,gender
i can make homage lasagna,0,gender
do you ever watch food network ?,0,gender
how are you doing today,0,gender
i like to read too,0,gender
how many kids do you have,0,gender
wow i wish my friends would do that for me .,0,gender
it sounds like the really care about you .,0,gender
i agree i think i need new friends .,0,gender
hi how are you today ?,0,gender
sounds good ! this woman loves some bbq ! lol,0,gender
no only my husband . i hope we are together as long as my parents .,0,gender
"ten years , my parents will celebrate their fifty anniversary next month",0,gender
"om . how are you today my fine , connected friend",0,gender
me too ! except they're called kids,0,gender
"oh no , my wife uses her hands . i use my body as i teach yoga",0,gender
indeed ! how is your home life my good friend ?,0,gender
"hi there , how are you ?",0,gender
"good thanks ! just got off work , at a restaurant as a grill cook .",0,gender
i would too . tell me more about yourself !,0,gender
running a big hobby of mine,0,gender
yeah i work in a club and then go to school in the morning,0,gender
"i like to write , read , dance , and spend time with my kids",0,gender
yeah two beautiful bundles of joy,0,gender
"hello , how are you doing today ?",0,gender
"well , i love spending time with my 3 kids , how about you ?",0,gender
"is that so ? have you ever pretended to be my career , a nurse ?",0,gender
what do you do on days off ?,0,gender
"me , too . i've been married for 20 years ! we like volunteering with animals together .",0,gender
"hi there , how are you today ?",0,gender
"yes , i like to sleep and eat organic foods . also , play in my brown hair .",0,gender
yar that be good to know matey !,0,gender
i like hospitals . the ice cream is good .,0,gender
hi how are you,0,gender
register of my local shop and you do what ?,0,gender
i have a cow is your town big ?,0,gender
they would like maybe one they're more into farm animals,0,gender
they're all a bout their garden though,0,gender
she had a cameo appearance on the simpsons you know,0,gender
i am doing well ! pleasure to meet you jane . i am serg .,0,gender
wow that's 1 more than i have and i thought i had too many haha .,0,gender
i know exactly what you mean . must be difficult to raise 6 kids on your own .,0,gender
hi there ! how are you ?,0,gender
"no , i'm a parent myself with a daughter who just graduated high school",0,gender
"my wife did before she had breast cancer . she's all clear now , but careful",0,gender
my daughter does too ! she just ranked top of her class and wanted everyone to wear green,0,gender
hi what are you up to,0,gender
"that sucks , i work as an affairs liaison for the public",0,gender
hello ! i'm excited to get to know you !,0,gender
you probably think i'm blond . i promise i'm a redhead . lol,0,gender
do you dance ?,0,gender
i hope it works for you as well . i've danced since i was two .,0,gender
hi ! how are you today ?,0,gender
i'm mitzi and you can find my youtube channel as mitzi mae makeup,0,gender
yeah i give lotta makeup tips . i drive a pink car .,0,gender
i've a tabby named leslie and she's the sweetest thing ! !,0,gender
"aww , you should they make the greatest companion .",0,gender
i have no idea . i'm not much of a dog person .,0,gender
"hi there , how are you ?",0,gender
i wish it is just a hobby,0,gender
i am good just reading comics,0,gender
no i always get rejected by women,0,gender
"hey , how are you ?",0,gender
"dream on , sister , dream on . i am a pessimist and i am usually correct . he wo not fall for you",0,gender
that sounds fun . hope you get married and have children .,0,gender
"hello , how are you doing tonight ?",0,gender
"i'm happy being vegan , i like to come up with deserts",0,gender
kinda sad today . i think i might some extra help in my life,0,gender
haha . i am a woman . of course i like shopping !,0,gender
i could use some iced tea . . . . . you got any cookies for me too ?,0,gender
chocolate is best . you like ice cream ?,0,gender
hi how are you today,0,gender
i am rhonda nice to met you . i just learned a new song on my guitar,0,gender
no i wish i did but i am getting older now,0,gender
my mom is a retired nurse i wanted to follow her footsteps but didn't like the blood,0,gender
nothing specific . i help my sister with some things . she is madonna .,0,gender
great ! i will bring this up to her tomorrow .,0,gender
that is impressive . are you married ?,0,gender
bless up then dress up for the rave,0,gender
do you have a cell phone ?,0,gender
hello how are you today ?,0,gender
hi ! its nice to meet you !,0,gender
"yeah , i loved it ! where do you work ?",0,gender
i don't work as an actress anymore but i love what i do !,0,gender
i do not have kids . do you ?,0,gender
"oh well , we all think different . my husband is strange sometimes too",0,gender
"i'm a dancer , what do you do ?",0,gender
i consider myself a hippie,0,gender
hippies love strawberries you know,0,gender
wow that is awesome ! i love hanging out with my imaginary friends,0,gender
it is my favorite up to this day,0,gender
"hello , i am a elementary teacher what a bout you",0,gender
i buy a box of chocolate every two week what about you,0,gender
do you love doing exercise with the children,0,gender
they need healthy food at that age i love vegetarian food,0,gender
when my parents died i was raised by my brother,0,gender
hello how are you today ?,0,gender
she's six months pregnant,0,gender
that's good everyone is a stranger til they become a friend .,0,gender
that sounds fun i work at the gym as a yoga instructor,0,gender
i enjoy chocolate . have any hobbies ?,0,gender
do you have any kids ?,0,gender
"oh , i am 30 . birthday was last week .",0,gender
i'm a creepy sash shhh librarian i'm kidding on creepy,0,gender
"i would still like you , of course i like to read also",0,gender
"i say so , yea i wish i got too today an loved it",0,gender
do you have any hobbies ?,0,gender
i'm . we have been married for 23 years . how about you ?,0,gender
hello how are you this evening ?,0,gender
do you read ? pride and prejudice by jane austen is my favorite,0,gender
hello and what have you been up to ?,0,gender
yes i am married to my job . . . . . i work way too much to be married .,0,gender
not sad . . . just my choice . . . my hair color depends on the day of the week,0,gender
i get love . . . just do not live with it . . .,0,gender
my name is maria how are you,0,gender
yeah and used be a cheer leader back in high school,0,gender
yes i do herb for my migraines raising 2 kids is nauseating,0,gender
yes it was not fun especially in heels,0,gender
a little while ago . i'm glad i now get to spend time with my 8 grandkids .,0,gender
me too ! even at my age,0,gender
"hi , i can help you with that cold .",0,gender
"i'm sorry that is not nice , you can call me bubblegum",0,gender
what is the rest name ?,0,gender
i like the desserts bubble gum ice cream,0,gender
"my mom works as a janitor , and i love watching cartoons .",0,gender
"hey there , how are you today ?",0,gender
"not bad , i just love cutting tress .",0,gender
hello how are you today ?,0,gender
"i like coffee , i also like my cape .",0,gender
"i'm a dancer , what do you do ?",0,gender
"i am a dancer , what do you do ?",0,gender
"hello , how are you this morning ?",0,gender
"i do not like veggies either . i am very shy , are you an outgoing person ?",0,gender
oh i did announce it in on the radio in my character voice .,0,gender
so what is going on your life lately ?,0,gender
i'm a waitress at a local restaurant so i guess that's active !,0,gender
kick back in my casual duds and hang out with friends . how bout you ?,0,gender
"hi , how are you tonight ?",0,gender
i have just finished watching an episode of i love lucy . i'm good .,0,gender
i work as a yoga instructor . been doing that for years .,0,gender
"hi , i was once a nurse . how are you ?",0,gender
well ! i'm enjoying painting outdoors .,0,gender
i am relatively young and still loved that cartoon .,0,gender
"hi , my name is kay , how are you ?",0,gender
so you must be really young still,0,gender
"great , i've many years on you , i am married have 1 child",0,gender
how did you meet her ?,0,gender
don't forget the dogs tell your brothers,0,gender
"hello , how are you today ?",0,gender
my older sister mary works from home too,0,gender
"yes , i do photography alot , i am a premature born",0,gender
hello . how are you this evening ?,0,gender
lucky you are done with school,0,gender
i am a junior but already mentally graduated,0,gender
"hello there , how are you ?",0,gender
i do have family . do you read magazines ?,0,gender
hello there ! how are you today ?,0,gender
that is awsome . do they watch sesame street ?,0,gender
i actually was one of the first test children chosen for that show . lol,0,gender
today was great i work at this book store and its amazing !,0,gender
that's cool tell me more about you,0,gender
"wow really , and my job hates my pink hair at least my girlfriend does not",0,gender
"lol i love my girl , my older brother not so much , its a sibling thing",0,gender
"yes ! its a love hate relationship , anything interesting i should know about you ?",0,gender
"want to ear something sad , i have never gone anywhere with a girl .",0,gender
its not sad that i have never dated ?,0,gender
thanks . do you read any ?,0,gender
hi how are you today,0,gender
that's great i have three kids so i can see that,0,gender
that sounds fun ! are you in school,0,gender
do you have a lot of homework ? i help my youngest a lot,0,gender
"no , but i do like collecting toys that wear raincoats .",0,gender
i've over 300 teddy bears wearing rain coats . i've travelled the world to get them .,0,gender
"hello , how are you today ?",0,gender
really ? you have social anxiety .,0,gender
whats going on with you tonight ?,0,gender
hello . how are you doing this evening ?,0,gender
well just recently . my girlfriend always spent a ton of money and i liked helping her .,0,gender
hello how are you ?,0,gender
i am more of a home body . too busy planning weddings for my job .,0,gender
good evening . how are you tonight ?,0,gender
hey whats up ? how are you,0,gender
well as long as youre doing something right ?,0,gender
look into the school system . my my does social work and she loves it,0,gender
yes she's divorced . bout 5 years ago,0,gender
you def could . she's vegetarian,0,gender
hello ! how are you doing this evening ?,0,gender
kids are great ! i have five grandsons,0,gender
oh no i could not function without my glasses,0,gender
hi there ! i am a dancer . what do you do for a living ?,0,gender
i am listening ! that would be cute for my kids ballet class !,0,gender
that would be so cute to dress them all up in fairy tale costumes,0,gender
my mother and father are . she works for apple . he's a professor .,0,gender
that's good to hear . i know it can be hard to lose anyone you love .,0,gender
i love dogs . i've one named tila .,0,gender
the other kids view me in a poor light and i've a bad image,0,gender
i think i am ugly because of all the freckles i've,0,gender
"my good friend is from tanzania , and she lives with me",0,gender
i love those too . do you like flip flops ?,0,gender
hi there . i am practicing my singing . how are you ?,0,gender
my daughters took an acting class . my sons didn't want to .,0,gender
"that's funny , i do not get along with my wife",0,gender
what is your favorite color ?,0,gender
i'm a kindergarten teacher at a large school,0,gender
how are you ? i just got a cat named diva .,0,gender
"awww darn , i like to read , do you ?",0,gender
i like comics over anything else . how old ?,0,gender
how many cats do you have ? i dyed my hair to match my cats,0,gender
"i am naturally brown , blonde now . my older brother takes care of all my finances",0,gender
you should not be so down on yourself . have some fun ! you could dye your hair too,0,gender
hello how was you day today ?,0,gender
"i do a few things for fun , was into gymnastics when young but now into swimming .",0,gender
where do you do nursing ?,0,gender
i eat sweets and then sleep every 5 hours . . .,0,gender
hey there ! do you live with your mom ?,0,gender
forced ? my mom never forces me to do anything .,0,gender
"good morning , glad all my kids are gone for school . hbu ?",0,gender
"cool , i'm married with 5 little 1s .",0,gender
i bet i am married an a vet,0,gender
hi how are you today ?,0,gender
yes but i like photography the best,0,gender
vegan has always interested me .,0,gender
i am the youngest and only girl in my family and i am .,0,gender
hi how are you today ?,0,gender
do you have any cool ones ?,0,gender
"hello , how are you doing today ?",0,gender
lol . that is good to know . like doing anything in particular with your mom ? 3,0,gender
maybe i should hang out with your mom .,0,gender
the doctor says i've a genetic thing . i know it drove my first two wives crazy !,0,gender
"no kids , just a dog . that's who introduced me to those wives .",0,gender
"i am not so much a kid person , i am too obsessed with things like coffee !",0,gender
"aside from reading , i am an avid headworker . love making my own patterns and designs .",0,gender
hi my name is christine,0,gender
i am a mother of two do you have any kids ?,0,gender
wait until you have two daughter and a husband busy busy busy,0,gender
"hi , how are you this evening ?",0,gender
do you have any hobbies ?,0,gender
hi my name is joan and i am a true dog lover,0,gender
i am fair at math but i'd love to help,0,gender
chocolate . what do you do for a living ? i'm a veterinarian assistant .,0,gender
hi ! how are you doing ?,0,gender
just finished painting my nails . what are you up to today ?,0,gender
that is good to hear . do you have any siblings ?,0,gender
"i only have one brother , lol was the ghost in the attic ?",0,gender
you must be a point guard on a girls basketball team ?,0,gender
30 . how old are you ?,0,gender
hello . how are you ?,0,gender
